key,value,date
EMBA,,15
EMBA,,16
EMBA,,17
EMBA,,18
EMBA,,19
EMBA,,20
EMBA,,21
EMBA,,22
EMBA,,23
EMBA,1,24
EMBA,,25
EMBA,,26
EMBA,,27
EMBA,,28
EMBA,,29
EMBA,,30
EMBA,,31
EMBA,4,32
EMBA,2,33
EMBA,4,34
EMBA,2,35
EMBA,2,36
EMBA,2,37
EMBA,1,38
EMBA,2,39
EMBA,7,40
EMBA,6,41
EMBA,4,42
EMBA,3,43
EMBA,2,44
EMBA,4,45
EMBA,2,46
EMBA,2,47
EMBA,1,48
EMBA,2,49
EMBA,2,50
EMBA,,51
EMBA,1,52
EMBA,,53
EMBA,,55
EMBA,,56
EMBA,,57
EMBA,,58
EMBA,,59
EMBA,,60
EMBA,,61
EMBA,,63
EMBA,,64
Four Year B.S.,,15
Four Year B.S.,2,16
Four Year B.S.,8,17
Four Year B.S.,25,18
Four Year B.S.,25,19
Four Year B.S.,13,20
Four Year B.S.,5,21
Four Year B.S.,1,22
Four Year B.S.,,23
Four Year B.S.,,24
Four Year B.S.,,25
Four Year B.S.,,26
Four Year B.S.,,27
Four Year B.S.,,28
Four Year B.S.,,29
Four Year B.S.,,30
Four Year B.S.,,31
Four Year B.S.,,32
Four Year B.S.,,33
Four Year B.S.,,34
Four Year B.S.,,35
Four Year B.S.,,36
Four Year B.S.,,37
Four Year B.S.,,38
Four Year B.S.,,39
Four Year B.S.,,40
Four Year B.S.,,41
Four Year B.S.,,42
Four Year B.S.,,43
Four Year B.S.,,44
Four Year B.S.,,45
Four Year B.S.,,46
Four Year B.S.,,47
Four Year B.S.,,48
Four Year B.S.,,49
Four Year B.S.,,50
Four Year B.S.,,51
Four Year B.S.,,52
Four Year B.S.,,53
Four Year B.S.,,55
Four Year B.S.,,56
Four Year B.S.,,57
Four Year B.S.,,58
Four Year B.S.,,59
Four Year B.S.,,60
Four Year B.S.,,61
Four Year B.S.,,63
Four Year B.S.,,64
M.Des,,15
M.Des,,16
M.Des,,17
M.Des,,18
M.Des,,19
M.Des,,20
M.Des,1,21
M.Des,12,22
M.Des,29,23
M.Des,29,24
M.Des,26,25
M.Des,17,26
M.Des,11,27
M.Des,5,28
M.Des,1,29
M.Des,,30
M.Des,,31
M.Des,,32
M.Des,,33
M.Des,,34
M.Des,,35
M.Des,,36
M.Des,,37
M.Des,,38
M.Des,,39
M.Des,,40
M.Des,,41
M.Des,,42
M.Des,,43
M.Des,,44
M.Des,,45
M.Des,,46
M.Des,,47
M.Des,,48
M.Des,,49
M.Des,,50
M.Des,,51
M.Des,,52
M.Des,,53
M.Des,,55
M.Des,,56
M.Des,,57
M.Des,,58
M.Des,,59
M.Des,,60
M.Des,,61
M.Des,,63
M.Des,,64
M.Mgt.,,15
M.Mgt.,,16
M.Mgt.,,17
M.Mgt.,,18
M.Mgt.,,19
M.Mgt.,,20
M.Mgt.,7,21
M.Mgt.,13,22
M.Mgt.,30,23
M.Mgt.,46,24
M.Mgt.,58,25
M.Mgt.,42,26
M.Mgt.,22,27
M.Mgt.,6,28
M.Mgt.,3,29
M.Mgt.,1,30
M.Mgt.,,31
M.Mgt.,,32
M.Mgt.,,33
M.Mgt.,,34
M.Mgt.,,35
M.Mgt.,,36
M.Mgt.,,37
M.Mgt.,,38
M.Mgt.,,39
M.Mgt.,,40
M.Mgt.,,41
M.Mgt.,,42
M.Mgt.,,43
M.Mgt.,,44
M.Mgt.,,45
M.Mgt.,,46
M.Mgt.,,47
M.Mgt.,,48
M.Mgt.,,49
M.Mgt.,,50
M.Mgt.,,51
M.Mgt.,,52
M.Mgt.,,53
M.Mgt.,,55
M.Mgt.,,56
M.Mgt.,,57
M.Mgt.,,58
M.Mgt.,,59
M.Mgt.,,60
